review_id,user_id,restaurant_id,review_text,rating,timestamp
29,29,3,"Resto bumbu dimsum halal sekitar Senopati. Makan disini setelah CFD an.. Bubur nya enaak, rasanya berkaldu dan kental, isiannya juga tidak pelit, hanya memang porsinya sedang tidak seperti bubur t*wa* yg porsinya mantap. Sup Krim Jagungnya …",3.0,29/07/24 02.44
30,30,3,"Bubur, kwetiaw sama bakpaunya enak, tempatnya nyaman, bisa buat acara kajian, atau meeting meeting, atau kumpul sama temen temen",5.0,05/06/25 01.07
31,31,4,"Lagi napak tilas ke Majestik, gak boleh dilewatkan nih bakmi legend yg satu ini. Sejak jaman SD, tiap bulan keluarga gw selalu makan di tempat ini, ganti2an dengan yang di sebelahnya (Bakmi Kebayoran, yg sayangnya skrg sudah gak ada). So, …",4.0,16/02/25 05.25
32,32,4,Chinese restaurant yang ada di kompleks Pasar Mayestik. Jualannya chinese food pada umumnya. Kebetulan hari Minggu iseng makan di sini karena pacar udah makan tapi belum kenyang. Kita pesen: …,4.0,03/02/25 17.59
33,33,4,"Pesan nasi goreng kepiting ternyata ga sesuai harapan, warna nasi goreng cenderung hitam ngga menarik, kepiting nya minimalis, lebih banyak telor, porsi sedikit banged, asli kecewa , mana harga 80 ribu, ga worth it..bbrp thn lalu masih …",5.0,10/11/24 16.01
34,34,4,"Resto langganan dari jaman SD. Dulu sekolah dekat Mayestik, suka diajak makan di sini pulang sekolah sama mama. Dari jaman restonya gelap ada pohon-pohonnya, sampai design sekarang masih setia makan di sini. Nasi goreng, mie/bihun goreng, …",4.0,19/01/25 13.09
35,35,4,"Masakan masih tergolong enak di pasar mayestik dan cita rasa yg sama, namun saya merasa ada sedikit rasa yg hilang.. …",3.0,09/09/24 13.49
36,36,4,"Restoran keluarga yang sejak dulu sudah remomended banget. Makan dan kumpul keluarga mulai dari orang tua saya, saya n kel, anak2 saya, sampai cucu2... Soal rasa ga ada yg bisa ngalahin resto ini. Letak nya di Pasar Mayestik sebuah area penjualan yg dikrenal sbg tempat shooping yg nyaman dan tenang...",5.0,14/11/24 09.53
37,37,4,"Salah satu restoran chinese food langganan kalau lagi belanja kain di pasar mayestik, bistik ayam & nasi goreng nya top, walaupun selalu rame tapi pelayanan nya dibilang cukup cepat",4.0,10/12/24 06.23
38,38,4,"makanan sdh tdk enak yah, pakai tepung terlalu berlebihan, jadi enek makannya. harus back to basic masak chiness food dgn baik dan benar, terutama sehat. dan harga lbh mahal sih dibanding resto sejenis, kalau enak sih kgk apa yah.",5.0,22/11/24 00.51
39,39,4,"Restoran Chinese yg legend dan berdiri sejak 1962. Masakan chinese yg otentik. Fuyunghai Kepiting, Lumpia Udang, dan Kangkung Hotplatenya enak. Harganya jg terjangkau dan sesuai dengan porsinya.",3.0,05/04/25 18.47
40,40,4,"Halal dengan pengertian tidak mengandung babi. Jadi bagi yang menghendaki benar-benar halal agar pesan tidak menggunakan bahan yang mengandung alkohol seperti arak, angciu dll",5.0,26/07/24 19.37
41,41,5,"Makanannya enak, worth it untuk makan kelompok atau keluarga gitu. Kalau sendiri mungkin cuma bisa pesen satu dish aja karena porsinya lumayan besar. Kalau kelompok atau family oke banget sih, karena bisa pesan macam-macam menu, Kenyang …",3.0,09/11/24 07.01
42,42,5,Tempat makan bebek viral yang konon dimasak selama 18 jam. Daging bebek roast duck lembut empuk. Nama tempatnya catchy. Bernuansa oriental instagramable. Ada valet parking.,5.0,13/01/25 09.18
43,43,5,"enak bgt suka! kailannya 10/10, tofu brokolinya 3/10 pas itu ga ada rasaaa😭🙏🏻, buttersquid ENAK BGT 1000/10 ⭐️⭐️⭐️⭐️⭐️👌🏻 tempatnya juga nyamann sekaliih …",3.0,13/08/24 12.37
44,44,5,Memiliki meeting room untuk kapasitas 10-12 orang dan menu perorangan maupun menu sharing. Rasa makanan enak dan memiliki sharing mushola dengan restoran di lt 2. Parkiran sangat terbatas sehingga ada Valet Parking dengan biaya 25rb. Pelayanan waiter dan supervisor sangat helpful. Akan kembali lagi!,4.0,30/04/25 03.07
45,45,5,"enak semuaaa!!! my fav are the salted egg squid, tahu cabe garam and roasted duck😍❤️❤️ …",3.0,09/06/25 11.16
46,46,5,"first time kesini, di rekomendasiin dua menu ini katanya best seller. dan bener sihh enakk banget, roasted duck+buttesquid dan hainan rice nya perpaduan yg cocok bangett🤩🤤 …",5.0,05/11/24 12.05
47,47,5,"Jujur ngga worth sama sekali sih. Daging bebeknya dry, kulitnya doang yg menarik, mienya overcooked, tempatnya ya gitu aja, servisnya juga ngga yg ramah dan cekatan B aja, yg enak malah cuma mantaunya",5.0,29/05/25 08.07
48,48,5,"Dinner disini dengan pasangan untuk pelayanannya sangat baik dan ramah, untuk rasa makanannya udah no debat lah TOP rasanya kami sepakat juara dan bener2 enak. Untuk harga Worth it aja utk ambience, rasa dan pelayanan yang seperti ini, yaa kalo bisa ada promo dong heheheh",4.0,07/12/24 00.24
49,49,5,"Ini adalah kunjungan kedua saya ke restoran ini, dan saya semakin yakin bahwa tempat ini selalu memberikan pengalaman yang memuaskan. Terlebih lagi, sekarang restoran ini sudah bersertifikasi halal, yang tentunya semakin menambah …",4.0,18/11/24 02.16
50,50,5,"Seru banget tempat ada street fighter and claw machine dan ambience nya cozy family friendly banget, harga a bit pricy but okay and panacota nya enak bangetttt",3.0,02/11/24 18.12
51,51,6,"Pertama kali coba makan di sini, dan saya sangat terkesan! Tempatnya sangat nyaman, bersih, dan tersedia juga tempat salat, jadi cocok …",4.0,06/06/25 00.32
52,52,6,"Sering lewat sini karena deket sama tempat tinggal, tapi baru sempetin mampir. Pertama x cobain sayur dengan telor asin, rasanya lumayan ngagetin di lidah (re: …",5.0,23/06/25 13.33
53,53,6,"Kalau kangen chinese food halal pastinya makan disini. Yang saya foto, itu yang selalu saya pesen …",4.0,06/02/25 06.41
54,54,6,"Ada beberapa poin untuk reviewnya 1. Untuk misoa nya jujur rasanya biasa banget, tapi untuk topping prawn nya enak. Dimsumnya juga enak walau ya standard yaa …",3.0,04/10/24 04.38
55,55,6,Makanan nya enak2 tapi memang secara harga lebih murah Wingl*k dan H*ka. Tapi variasi menunya agak berbeda dengan mereka.,4.0,07/02/25 16.02
56,56,6,"Untuk Wonton noodle soupnya enak (terutama woonton nya) cuma Krn tidak suka pedas sambalnya sy minta pisah. Dimsum nya rata² enak. General wong chicken juga menjadi favorit kita disini. Dan ditutup dengan Oolong tea, dengan cangkir teko yang unik",5.0,08/04/25 12.27
57,57,6,Tempat chinese food yang versi modern dari interiornya. Ada cobain salted egg fish skin dan steam tofu gitu enak banget dan berasa kuat. Pelayanannya juga lumayan cepet ga terlalu lama. …,3.0,25/02/25 18.42
58,58,6,"Stop by hari ini ke sini. Kesan pertama restonya agak kecil tapi panjang ke dalem, duduk di private room nya utk 6 org. Enak gak berisik karena di luar agak ramai pas hari ini jumat libur. Kita pesen beberapa menu...bisa di cek makananya di …",4.0,05/08/24 12.09
59,59,6,"Three Uncles yang cabang Jaksel ini letaknya ada di Prapanca. Ada di pinggir jalan dan parkiran juga aman, ada valetnya juga. …",5.0,12/07/25 06.35
60,60,6,"Makanannya enak, servis oke. Saya sudah beberapa kali ke sini. Tapi saya berikan bintang 1 karena policy parking yg diterapkan oleh resto. Parkiran kosong tapi customer diwajibkan untuk bayar valet 30ribu. Tidak masuk akal sama sekali. …",5.0,16/10/24 07.51
61,61,7,Parah. Lama bgt proses masak nya. Nunggu lama banget. Tutup aja kalo tidak siap jualan online. Karyawan ditanyain jawab nya tidak tahu untuk estimasi masak nya. Orderan pun …,5.0,07/12/24 17.12
62,62,7,"Ini restoran lama sejak saya remaja, sudah 30 tahun lebih. Memang untuk pesan masakannya agak lama, secara rasa masih lumayan enak, dan harga relatif. Lokasi tetap sama, pas di sebelah Indomaret.",5.0,02/07/25 04.46
